name	type	units	low_cutoff	high_cutoff	notch	software_filters	status	status_description	sampling_frequency	description
MF'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'15	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'16	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FO'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FO'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FO'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FO'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FO'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FO'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FO'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FO'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FO'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FO'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FO'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FO'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
