name	type	units	low_cutoff	high_cutoff	notch	software_filters	status	status_description	sampling_frequency	description
A1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A15	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A16	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
H1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
H2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
H3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
H4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
H5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
H6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
H7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
H8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
H9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
H10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
H11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
H12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PH1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PH2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PH3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PH4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PH5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PH6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PH7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PH8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PH9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PH10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PH11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PH12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PH13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PH14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PH15	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PH16	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SO1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SO2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SO3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SO4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SO5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
